RT ID,10세 미만,10대,20대,30대,40대,50대,60대,70세 이상
R11740T7,40525.694,50480.1207,60780.5877,81312.2585,87524.1036,74983.7482,59979.7737,57740.4602
R11110T8,9734.0452,20847.0344,41737.6334,32881.5725,37405.0567,38463.1119,26854.787,26428.8843
R11140T8,8745.6585,10057.1686,33445.2373,35407.0736,33908.8271,31063.4432,21991.3369,20290.9145
R11170T8,14945.6792,19592.1925,40891.0339,53523.7103,47287.0235,39521.6499,26684.1576,25985.7362
R11200T8,21931.8708,24354.0819,55597.7561,58838.089,53491.4922,46382.1756,33523.5747,31487.8719
R11215T8,21569.1379,33278.8158,70891.5388,60987.1221,54945.1425,50178.3087,34092.9462,31544.3737
R11230T8,19542.4236,28580.5096,74041.8643,52149.8479,51851.0293,48497.2419,37078.7644,39882.2152
R11260T8,24196.2775,26706.8333,49145.5703,57279.4776,53707.7436,55633.7553,42537.4512,43288.4795
R11290T8,30631.2445,44154.9663,75562.2669,59588.5711,65990.3825,60283.962,41891.9962,46552.4102
R11305T8,18142.8423,23827.2264,41975.7684,38527.3698,42463.1202,44901.9592,34393.0941,41836.605
R11320T8,18515.7118,23865.9601,34364.4761,36810.8341,40531.9984,42847.9212,35887.6436,38382.3483
R11350T8,34794.771,59671.0403,68557.5553,63451.4015,77489.8069,75519.833,55589.0289,60170.2071
R11380T8,30401.1658,39571.984,58566.636,69008.1469,71303.2152,64478.7119,48386.1934,53146.0381
R11410T8,20144.5977,29428.9485,68988.3243,54292.2391,52610.5459,48078.4935,32815.6065,36077.8285
R11440T8,24651.1891,33010.7335,80140.8026,78667.7891,70714.0341,54135.2405,34796.5981,36297.6017
R11470T8,30134.6131,47660.4547,42656.6737,50720.5581,63569.8533,53537.2214,37775.2941,37266.4821
R11500T8,41251.6351,42972.2554,76606.5537,101824.0812,88754.8004,71382.6635,56194.7081,56712.577
R11530T8,28730.5113,29100.3239,49815.9617,65532.344,62845.5083,53650.8007,40888.9116,39305.3923
R11545T8,11060.7214,12576.3222,31463.9872,38091.66,31144.8062,30991.285,22775.5456,19480.2486
R11560T8,25965.6855,26999.6176,64154.8151,83933.7001,70614.6309,60833.5199,43207.4899,39158.62
R11590T8,25935.9792,32629.065,76523.2125,65689.0184,59760.0237,51771.0192,38421.3817,41690.9741
R11620T8,22016.2466,30301.2778,114983.2452,91748.9767,67325.0337,57266.7118,42210.5637,45832.4021
R11650T8,41297.0149,50421.2525,63417.5599,80514.6486,95214.3721,74585.3764,49012.73,46208.1522
R11680T8,50659.3878,78684.2334,95427.8675,119462.5287,133680.3942,98874.252,63266.1926,60433.1302
R11710T8,60227.0294,68443.2215,91817.418,125208.425,122445.1582,101415.5834,75545.7934,67927.0901
R11740T8,40136.5869,49621.549,59866.9799,79990.3016,85943.5447,73219.7919,58513.8639,57001.2444
R11110T9,10842.6994,22347.8808,44453.9881,35867.2574,40855.3924,42011.9683,29692.7764,29106.6936
R11140T9,9876.6247,11000.1418,36462.7189,38635.5876,37392.8365,34685.4277,24850.8791,22294.347
R11170T9,15613.9675,20467.4119,43735.6306,54907.6481,48539.2394,40218.5499,27462.1494,26588.0226
R11200T9,22377.1591,24660.5091,56580.9332,59124.1514,53652.0079,46344.4459,33419.2374,31691.3228
R11215T9,21932.9939,33428.5561,69572.42,60286.7649,54517.5162,49486.5829,34046.304,31398.3475
R11230T9,19187.8954,28354.8096,72865.064,51114.5321,51539.7961,48223.2923,37012.2747,40923.3269
R11260T9,23759.9891,26443.2519,47463.8385,55310.1712,52463.5871,54792.9811,41767.2239,42370.1087
R11290T9,30567.8088,43797.6156,74575.6162,58677.7549,64027.4232,58848.0739,40863.0347,45614.6613
R11305T9,18083.965,23383.8837,40807.1484,37343.0124,42062.2865,44618.0462,33898.8433,41130.9078
R11320T9,18220.5188,23383.2704,33104.6289,36052.9028,39461.6562,41693.8551,35322.3519,38573.4304
R11350T9,34757.1295,59876.0459,67870.8888,62582.6742,76825.7101,73946.9794,54331.3733,59429.7186
R11380T9,30027.5225,38969.3644,56576.2783,66636.6007,69648.049,63195.6317,47658.8541,52444.8586
R11410T9,20442.2773,29603.071,69444.0499,54481.7152,52831.8603,47663.2564,32297.7171,35874.9349
R11440T9,25069.5497,34277.3221,82259.9391,79928.1116,71582.7102,54841.7612,35051.6844,36311.3597
R11470T9,30502.4495,48751.4977,42392.462,50896.1683,63194.0873,52604.8576,36876.3009,37094.4633
R11500T9,40813.5875,42355.5553,75293.4335,100474.0615,87855.3165,70820.5449,55579.3024,55930.6788
R11530T9,27318.4622,28105.2052,48883.9488,64384.6815,61840.2977,52965.9841,40399.2334,38877.155
R11545T9,11094.7171,12420.0467,30907.5102,37718.6693,31442.3405,31190.2812,22579.7721,19418.951
R11560T9,26067.191,27221.0698,65648.4399,84828.7783,71627.3989,62268.7759,43965.5114,40189.9222
R11590T9,25137.0129,32103.3429,75536.1528,63982.8629,58297.3689,50571.2323,37419.454,40905.8331
R11620T9,22028.8708,29900.8033,110383.1061,89109.7473,66345.4297,56262.0586,42010.4951,45286.9214
R11650T9,42369.7479,52409.4735,71036.2164,87435.5183,99690.9617,78459.3775,51582.1583,47907.7546
R11680T9,50524.7602,84051.3809,107103.5048,130576.0863,139790.3904,102368.1706,65311.5969,60730.4095
R11710T9,62091.1673,70519.9635,93079.8859,125417.3889,122569.752,100373.6539,74742.5429,67552.6132
R11740T9,39389.3102,48959.4862,58509.9947,77848.5898,83900.5495,71848.2887,57386.4367,56045.5857
R11110T10,12056.6292,24691.5326,48125.0946,39364.0094,44914.6794,46608.4336,33189.2663,32086.4651
R11140T10,11516.8796,12253.6938,39650.1972,42532.7342,40950.7559,38162.7575,27535.0273,25354.1661
R11170T10,15568.226,20643.4373,45125.657,55701.7644,48967.844,40194.6791,27776.1885,27168.2546
R11200T10,22128.454,24785.2771,57717.4516,59137.4806,53895.4797,45915.3813,32865.8857,31770.0523
R11215T10,22434.7375,33978.312,68946.8625,60133.8927,55202.696,49694.8486,33889.2019,31687.4549
R11230T10,19114.3564,27964.0278,71642.6601,50014.6355,50899.7141,48518.9522,37416.4485,41717.3404
R11260T10,23634.9995,26260.8127,45849.5219,52954.0482,51429.6871,53417.9626,41130.6426,41789.4208
R11290T10,30274.6863,43098.7574,73066.1269,57281.7684,62810.3233,57468.2973,39952.3725,44471.5291
