호선,고유역번호(외부역코드),연월,하차인원수,자치구코드,호선역
9,4133,202202,38256,111273,석촌(9)
9,4134,202202,33290,111273,송파나루(9)
9,4135,202202,17351,111273,한성백제(9)
9,4136,202202,28893,111273,올림픽공원(9)
9,4137,202202,7458,111274,둔촌오륜(9)
9,4138,202202,42486,111274,중앙보훈병원(9)
1,150,202203,954476,111121,서울역(1)
1,151,202203,506303,111121,시청(1)
1,152,202203,736862,111123,종각(1)
1,153,202203,568693,111123,종로3가(1)
1,154,202203,546946,111123,종로5가(1)
1,155,202203,274331,111123,동대문(1)
1,156,202203,336238,111152,신설동(1)
1,157,202203,442927,111152,제기동(1)
1,158,202203,511722,111152,청량리(1)
1,159,202203,252935,111123,동묘앞(1)
2,201,202203,477591,111121,시청(2)
2,202,202203,878261,111121,을지로입구(2)
2,203,202203,486250,111121,을지로3가(2)
2,204,202203,296395,111121,을지로4가(2)
2,205,202203,363742,111121,동대문역사문화공원(2)
2,206,202203,358846,111121,신당(2)
2,207,202203,338194,111142,상왕십리(2)
2,208,202203,348240,111142,왕십리(2)
2,209,202203,364526,111142,한양대(2)
2,210,202203,551470,111142,뚝섬(2)
2,211,202203,946293,111142,성수(2)
2,212,202203,985481,111141,건대입구(2)
2,213,202203,574046,111141,구의(2)
2,214,202203,699213,111141,강변(2)
2,215,202203,321446,111273,잠실나루(2)
2,216,202203,1612184,111273,잠실(2)
2,217,202203,516682,111273,잠실새내(2)
2,218,202203,252564,111273,종합운동장(2)
2,219,202203,1158528,111261,삼성(2)
2,220,202203,1101877,111261,선릉(2)
2,221,202203,1235894,111261,역삼(2)
2,222,202203,1927331,111261,강남(2)
2,223,202203,864723,111262,교대(2)
2,224,202203,473278,111262,서초(2)
2,225,202203,459718,111262,방배(2)
2,226,202203,991362,111241,사당(2)
2,227,202203,671955,111251,낙성대(2)
2,228,202203,1194557,111251,서울대입구(2)
2,229,202203,547911,111251,봉천(2)
2,230,202203,1555097,111251,신림(2)
2,231,202203,648224,111241,신대방(2)
2,232,202203,1375610,111221,구로디지털단지(2)
2,233,202203,612935,111221,대림(2)
2,234,202203,1172064,111221,신도림(2)
2,235,202203,516426,111231,문래(2)
2,236,202203,547992,111231,영등포구청(2)
2,237,202203,512823,111231,당산(2)
2,238,202203,814320,111201,합정(2)
2,239,202203,1499018,111201,홍대입구(2)
2,240,202203,849484,111201,신촌(2)
2,241,202203,367979,111201,이대(2)
2,242,202203,249071,111201,아현(2)
2,243,202203,246686,111191,충정로(2)
2,244,202203,91807,111142,용답(2)
2,245,202203,46071,111142,신답(2)
2,246,202203,95249,111152,신설동(2)
2,247,202203,35946,111221,도림천(2)
2,248,202203,172505,111301,양천구청(2)
2,249,202203,258055,111301,신정네거리(2)
2,250,202203,61927,111152,용두(2)
3,310,202203,491319,111181,구파발(3)
3,311,202203,876936,111181,연신내(3)
3,312,202203,439137,111181,불광(3)
3,313,202203,342684,111181,녹번(3)
3,314,202203,418558,111191,홍제(3)
3,315,202203,98364,111191,무악재(3)
3,316,202203,186935,111191,독립문(3)
3,317,202203,499359,111123,경복궁(3)
3,318,202203,504806,111123,안국(3)
3,319,202203,276931,111123,종로3가(3)
3,320,202203,234648,111121,을지로3가(3)
3,322,202203,232599,111121,동대입구(3)
3,323,202203,308905,111121,약수(3)
3,324,202203,184126,111142,금호(3)
3,325,202203,229228,111142,옥수(3)
3,326,202203,798880,111261,압구정(3)
3,327,202203,778056,111261,신사(3)
3,328,202203,113107,111262,잠원(3)
3,329,202203,1007250,111262,고속터미널(3)
3,330,202203,209512,111262,교대(3)
3,331,202203,695395,111262,남부터미널(3)
3,332,202203,948860,111262,양재(3)
3,333,202203,266997,111261,매봉(3)
3,334,202203,129258,111261,도곡(3)
3,335,202203,271810,111261,대치(3)
3,336,202203,66051,111261,학여울(3)
3,337,202203,222857,111261,대청(3)
3,338,202203,229971,111261,일원(3)
3,339,202203,428944,111261,수서(3)
3,340,202203,208922,111273,가락시장(3)
3,341,202203,170011,111273,경찰병원(3)
3,342,202203,135008,111273,오금(3)
4,409,202203,273822,111311,당고개(4)
4,410,202203,448361,111311,상계(4)
4,411,202203,537473,111311,노원(4)
4,412,202203,686912,111171,창동(4)
4,413,202203,671116,111171,쌍문(4)
4,414,202203,858304,111291,수유(4)
4,415,202203,373239,111291,미아(4)
4,416,202203,669348,111291,미아사거리(4)
4,417,202203,504545,111161,길음(4)
4,418,202203,510742,111161,성신여대입구(4)
4,419,202203,339013,111161,한성대입구(4)
4,420,202203,810776,111123,혜화(4)
4,421,202203,484222,111123,동대문(4)
4,422,202203,339455,111121,동대문역사문화공원(4)
4,423,202203,659434,111121,충무로(4)
4,424,202203,472688,111121,명동(4)
4,425,202203,594116,111121,회현(4)
4,426,202203,367739,111131,서울역(4)
4,427,202203,332737,111131,숙대입구(4)
4,428,202203,135989,111131,삼각지(4)
4,429,202203,390322,111131,신용산(4)
4,430,202203,196959,111131,이촌(4)
4,431,202203,63238,111241,동작(4)
4,432,202203,504334,111241,이수(4)
4,433,202203,527067,111241,사당(4)
4,434,202203,25453,111262,남태령(4)
5,2511,202203,159279,111212,방화(5)
5,2512,202203,134864,111212,개화산(5)
5,2513,202203,185558,111212,김포공항(5)
5,2514,202203,157113,111212,송정(5)
5,2515,202203,249558,111212,마곡(5)
5,2516,202203,505203,111212,발산(5)
